mysql-sql> select * from orderdetails limit 10;
+---------+-----------+-----------+----------+----------+
| OrderID | ProductID | UnitPrice | Quantity | Discount |
+---------+-----------+-----------+----------+----------+
|   10248 |        11 |   14.0000 |       12 |        0 |
|   10248 |        42 |    9.8000 |       10 |        0 |
|   10248 |        72 |   34.8000 |        5 |        0 |
|   10249 |        14 |   18.6000 |        9 |        0 |
|   10249 |        51 |   42.4000 |       40 |        0 |
|   10250 |        41 |    7.7000 |       10 |        0 |
|   10250 |        51 |   42.4000 |       35 |        0 |
|   10250 |        65 |   16.8000 |       15 |        0 |
|   10251 |        22 |   16.8000 |        6 |        0 |
|   10251 |        57 |   15.6000 |       15 |        0 |
+---------+-----------+-----------+----------+----------+
10 rows in set (0.02 sec)
mysql-sql> select orderid , productid, unitprice from orderdetails group by productid;
+---------+-----------+-----------+
| orderid | productid | unitprice |
|   10278 |        44 |   15.5000 |
|   10388 |        45 |    7.6000 |
|   10287 |        46 |    9.6000 |
|   10332 |        47 |    7.6000 |
|   10403 |        48 |   10.2000 |
|   10253 |        49 |   16.0000 |
|   10350 |        50 |   13.0000 |
|   10249 |        51 |   42.4000 |
|   10322 |        52 |    5.6000 |
|   10256 |        53 |   26.2000 |
|   10288 |        54 |    5.9000 |
|   10254 |        55 |   19.2000 |
|   10262 |        56 |   30.4000 |
|   10251 |        57 |   15.6000 |
|   10314 |        58 |   10.6000 |
|   10255 |        59 |   44.0000 |
|   10252 |        60 |   27.2000 |
|   10418 |        61 |   22.8000 |
|   10260 |        62 |   39.4000 |
|   10278 |        63 |   35.1000 |
|   10289 |        64 |   26.6000 |
|   10250 |        65 |   16.8000 |
|   10300 |        66 |   13.6000 |
|   10284 |        67 |   11.2000 |
|   10288 |        68 |   10.0000 |
|   10296 |        69 |   28.8000 |
|   10260 |        70 |   12.0000 |
|   10274 |        71 |   17.2000 |
|   10248 |        72 |   34.8000 |
|   10278 |        73 |   12.0000 |
|   10254 |        74 |    8.0000 |
|   10280 |        75 |    6.2000 |
|   10267 |        76 |   14.4000 |
|   10256 |        77 |   10.4000 |
+---------+-----------+-----------+
77 rows in set (0.03 sec)
mysql-sql> select orderid , productid, sum(unitprice) from orderdetails group by productid;
+---------+-----------+----------------+
| orderid | productid | sum(unitprice) |
+---------+-----------+----------------+
|   10285 |         1 |       651.6000 |
|   10255 |         2 |       786.6000 |
|   10289 |         3 |       114.0000 |
|   10309 |         4 |       413.6000 |
|   10258 |         5 |       196.1000 |
|   10309 |         6 |       290.0000 |
|   10262 |         7 |       846.0000 |
|   10344 |         8 |       504.0000 |
|   10420 |         9 |       465.6000 |
|   10273 |        10 |       979.6000 |
|   10248 |        11 |       744.8000 |
|   10266 |        12 |       516.8000 |
|   10276 |        13 |       230.4000 |
|   10249 |        14 |       469.6500 |
|   10283 |        15 |        86.8000 |
|   10255 |        16 |       704.2000 |
|   10265 |        17 |      1349.4000 |
|   10293 |        18 |      1612.5000 |
|   10281 |        19 |       315.7000 |
|   10252 |        20 |      1215.0000 |
|   10259 |        21 |       366.0000 |
|   10251 |        22 |       285.6000 |
|   10337 |        23 |       167.4000 |
|   10254 |        24 |       216.0000 |
|   10323 |        25 |       235.2000 |
|   10330 |        26 |       923.4000 |
|   10257 |        27 |       368.7000 |
|   10277 |        28 |      1385.2000 |
|   10268 |        29 |      3713.3800 |
|   10263 |        30 |       776.5800 |
|   10253 |        31 |       595.0000 |
|   10258 |        32 |       460.8000 |
|   10252 |        33 |        74.5000 |
|   10287 |        34 |       246.4000 |
|   10261 |        35 |       612.0000 |
|   10255 |        36 |       554.8000 |
|   10259 |        37 |       140.4000 |
|   10329 |        38 |      5902.4000 |
|   10253 |        39 |       500.4000 |
|   10267 |        40 |       706.3000 |
|   10250 |        41 |       432.1000 |
|   10248 |        42 |       396.2000 |
|   10270 |        43 |      1205.2000 |
|   10278 |        44 |       435.2000 |
|   10388 |        45 |       129.2000 |
|   10287 |        46 |       300.0000 |
|   10332 |        47 |       191.9000 |
|   10403 |        48 |        71.4000 |
|   10253 |        49 |       388.0000 |
|   10350 |        50 |       149.5000 |
|   10249 |        51 |      1971.6000 |
|   10322 |        52 |       196.0000 |
|   10256 |        53 |       904.8000 |
|   10288 |        54 |       244.9500 |
|   10254 |        55 |       739.2000 |
|   10262 |        56 |      1770.8000 |
|   10251 |        57 |       417.3000 |
|   10314 |        58 |       227.9000 |
|   10255 |        59 |      2761.0000 |
|   10252 |        60 |      1638.8000 |
|   10418 |        61 |       666.9000 |
|   10260 |        62 |      2227.8000 |
|   10278 |        63 |       693.5000 |
|   10289 |        64 |       931.0000 |
|   10250 |        65 |       622.6000 |
|   10300 |        66 |       122.4000 |
|   10284 |        67 |       137.2000 |
|   10288 |        68 |       392.5000 |
|   10296 |        69 |      1036.8000 |
|   10260 |        70 |       552.0000 |
|   10274 |        71 |       829.9000 |
|   10248 |        72 |      1217.4000 |
|   10278 |        73 |       201.0000 |
|   10254 |        74 |       114.0000 |
|   10280 |        75 |       339.4500 |
|   10267 |        76 |       662.4000 |
|   10256 |        77 |       460.2000 |
+---------+-----------+----------------+
77 rows in set (0.00 sec)
mysql-sql> select orderid , productid, sum(unitprice) from orderdetails where productid = 1;
+---------+-----------+----------------+
| orderid | productid | sum(unitprice) |
+---------+-----------+----------------+
|   10285 |         1 |       651.6000 |
+---------+-----------+----------------+
1 row in set (0.03 sec)
mysql-sql> select orderid , productid, sum(unitprice) from orderdetails limit 1;
+---------+-----------+----------------+
| orderid | productid | sum(unitprice) |
+---------+-----------+----------------+
|   10248 |        11 |     56500.9100 |
+---------+-----------+----------------+
1 row in set (0.00 sec)
mysql-sql> select orderid , productid, sum(unitprice) from orderdetails where orderid = 10285;
+---------+-----------+----------------+
| orderid | productid | sum(unitprice) |
+---------+-----------+----------------+
|   10285 |         1 |        55.3000 |
+---------+-----------+----------------+
1 row in set (0.00 sec)
mysql-sql> select orderid , productid, unitprice from orderdetails where productid = 1;
+---------+-----------+-----------+
| orderid | productid | unitprice |
+---------+-----------+-----------+
|   10285 |         1 |   14.4000 |
|   10294 |         1 |   14.4000 |
|   10317 |         1 |   14.4000 |
|   10348 |         1 |   14.4000 |
|   10354 |         1 |   14.4000 |
|   10370 |         1 |   14.4000 |
|   10406 |         1 |   14.4000 |
|   10413 |         1 |   14.4000 |
|   10477 |         1 |   14.4000 |
|   10522 |         1 |   18.0000 |
|   10526 |         1 |   18.0000 |
|   10576 |         1 |   18.0000 |
|   10590 |         1 |   18.0000 |
|   10609 |         1 |   18.0000 |
|   10611 |         1 |   18.0000 |
|   10628 |         1 |   18.0000 |
|   10646 |         1 |   18.0000 |
|   10689 |         1 |   18.0000 |
|   10691 |         1 |   18.0000 |
|   10700 |         1 |   18.0000 |
|   10729 |         1 |   18.0000 |
|   10752 |         1 |   18.0000 |
|   10838 |         1 |   18.0000 |
|   10847 |         1 |   18.0000 |
|   10863 |         1 |   18.0000 |
|   10869 |         1 |   18.0000 |
|   10905 |         1 |   18.0000 |
|   10911 |         1 |   18.0000 |
|   10918 |         1 |   18.0000 |
|   10935 |         1 |   18.0000 |
|   11003 |         1 |   18.0000 |
|   11005 |         1 |   18.0000 |
|   11006 |         1 |   18.0000 |
|   11025 |         1 |   18.0000 |
|   11031 |         1 |   18.0000 |
|   11035 |         1 |   18.0000 |
|   11047 |         1 |   18.0000 |
|   11070 |         1 |   18.0000 |
+---------+-----------+-----------+
38 rows in set (0.00 sec)
mysql-sql> select orderid , productid, unitprice from orderdetails where orderid = 10285;
+---------+-----------+-----------+
| orderid | productid | unitprice |
+---------+-----------+-----------+
|   10285 |         1 |   14.4000 |
|   10285 |        40 |   14.7000 |
|   10285 |        53 |   26.2000 |
+---------+-----------+-----------+
3 rows in set (0.00 sec)
mysql-sql> desc products;
+-----------------+---------------+------+-----+---------+----------------+
| Field           | Type          | Null | Key | Default | Extra          |
+-----------------+---------------+------+-----+---------+----------------+
| ProductID       | int(11)       | NO   | PRI | null    | auto_increment |
| ProductName     | varchar(40)   | NO   | MUL | null    |                |
| SupplierID      | int(11)       | YES  | MUL | null    |                |
| CategoryID      | int(11)       | YES  | MUL | null    |                |
| QuantityPerUnit | varchar(20)   | YES  |     | null    |                |
| UnitPrice       | decimal(10,4) | YES  |     | 0.0000  |                |
| UnitsInStock    | smallint(2)   | YES  |     | 0       |                |
| UnitsOnOrder    | smallint(2)   | YES  |     | 0       |                |
| ReorderLevel    | smallint(2)   | YES  |     | 0       |                |
| Discontinued    | bit(1)        | NO   |     | b'0'    |                |
+-----------------+---------------+------+-----+---------+----------------+
10 rows in set (0.03 sec)
mysql-sql> select

mysql-sql> select A.productname, A.productid, B.unitprice as total from products A
       ... inner join orderdetails B
       ... on A.productid = B.productid
       ... group by productid;
+----------------------------------+-----------+----------+
| productname                      | productid | total    |
+----------------------------------+-----------+----------+
| Chai                             |         1 |  14.4000 |
| Chang                            |         2 |  15.2000 |
| Aniseed Syrup                    |         3 |   8.0000 |
| Chef Anton's Cajun Seasoning     |         4 |  17.6000 |
| Chef Anton's Gumbo Mix           |         5 |  17.0000 |
| Grandma's Boysenberry Spread     |         6 |  20.0000 |
| Uncle Bob's Organic Dried Pears  |         7 |  24.0000 |
| Northwoods Cranberry Sauce       |         8 |  32.0000 |
| Mishi Kobe Niku                  |         9 |  77.6000 |
| Ikura                            |        10 |  24.8000 |
| Queso Cabrales                   |        11 |  14.0000 |
| Queso Manchego La Pastora        |        12 |  30.4000 |
| Konbu                            |        13 |   4.8000 |
| Tofu                             |        14 |  18.6000 |
| Genen Shouyu                     |        15 |  12.4000 |
| Pavlova                          |        16 |  13.9000 |
| Alice Mutton                     |        17 |  31.2000 |
| Carnarvon Tigers                 |        18 |  50.0000 |
| Teatime Chocolate Biscuits       |        19 |   7.3000 |
| Sir Rodney's Marmalade           |        20 |  64.8000 |
| Sir Rodney's Scones              |        21 |   8.0000 |
| Gustaf's Knckebrd                |        22 |  16.8000 |
| Tunnbrd                          |        23 |   7.2000 |
| Guaran Fantstica                 |        24 |   3.6000 |
| NuNuCa Nu-Nougat-Creme           |        25 |  11.2000 |
| Gumbr Gummibrchen                |        26 |  24.9000 |
| Schoggi Schokolade               |        27 |  35.1000 |
| Rssle Sauerkraut                 |        28 |  36.4000 |
| Thringer Rostbratwurst           |        29 |  99.0000 |
| Nord-Ost Matjeshering            |        30 |  20.7000 |
| Gorgonzola Telino                |        31 |  10.0000 |
| Mascarpone Fabioli               |        32 |  25.6000 |
| Geitost                          |        33 |   2.0000 |
| Sasquatch Ale                    |        34 |  11.2000 |
| Steeleye Stout                   |        35 |  14.4000 |
| Inlagd Sill                      |        36 |  15.2000 |
| Gravad lax                       |        37 |  20.8000 |
| Cte de Blaye                     |        38 | 210.8000 |
| Chartreuse verte                 |        39 |  14.4000 |
| Boston Crab Meat                 |        40 |  14.7000 |
| Jack's New England Clam Chowder  |        41 |   7.7000 |
| Singaporean Hokkien Fried Mee    |        42 |   9.8000 |
| Ipoh Coffee                      |        43 |  36.8000 |
| Gula Malacca                     |        44 |  15.5000 |
| Rogede sild                      |        45 |   7.6000 |
| Spegesild                        |        46 |   9.6000 |
| Zaanse koeken                    |        47 |   7.6000 |
| Chocolade                        |        48 |  10.2000 |
| Maxilaku                         |        49 |  16.0000 |
| Valkoinen suklaa                 |        50 |  13.0000 |
| Manjimup Dried Apples            |        51 |  42.4000 |
| Filo Mix                         |        52 |   5.6000 |
| Perth Pasties                    |        53 |  26.2000 |
| Tourtire                         |        54 |   5.9000 |
| Pt chinois                       |        55 |  19.2000 |
| Gnocchi di nonna Alice           |        56 |  30.4000 |
| Ravioli Angelo                   |        57 |  15.6000 |
| Escargots de Bourgogne           |        58 |  10.6000 |
| Raclette Courdavault             |        59 |  44.0000 |
| Camembert Pierrot                |        60 |  27.2000 |
| Sirop d'rable                    |        61 |  22.8000 |
| Tarte au sucre                   |        62 |  39.4000 |
| Vegie-spread                     |        63 |  35.1000 |
| Wimmers gute Semmelkndel         |        64 |  26.6000 |
| Louisiana Fiery Hot Pepper Sauce |        65 |  16.8000 |
| Louisiana Hot Spiced Okra        |        66 |  13.6000 |
| Laughing Lumberjack Lager        |        67 |  11.2000 |
| Scottish Longbreads              |        68 |  10.0000 |
| Gudbrandsdalsost                 |        69 |  28.8000 |
| Outback Lager                    |        70 |  12.0000 |
| Flotemysost                      |        71 |  17.2000 |
| Mozzarella di Giovanni           |        72 |  34.8000 |
| Rd Kaviar                        |        73 |  12.0000 |
| Longlife Tofu                    |        74 |   8.0000 |
| Rhnbru Klosterbier               |        75 |   6.2000 |
| Lakkalikri                       |        76 |  14.4000 |
| Original Frankfurter grne Soe    |        77 |  10.4000 |
+----------------------------------+-----------+----------+
77 rows in set (0.00 sec)
mysql-sql> select A.productname, A.productid, sum(B.unitprice) as total from products A
       ... inner join orderdetails B
       ... on A.productid = B.productid
       ... group by productid;
+----------------------------------+-----------+-----------+
| productname                      | productid | total     |
+----------------------------------+-----------+-----------+
| Chai                             |         1 |  651.6000 |
| Chang                            |         2 |  786.6000 |
| Aniseed Syrup                    |         3 |  114.0000 |
| Chef Anton's Cajun Seasoning     |         4 |  413.6000 |
| Chef Anton's Gumbo Mix           |         5 |  196.1000 |
| Grandma's Boysenberry Spread     |         6 |  290.0000 |
| Uncle Bob's Organic Dried Pears  |         7 |  846.0000 |
| Northwoods Cranberry Sauce       |         8 |  504.0000 |
| Mishi Kobe Niku                  |         9 |  465.6000 |
| Ikura                            |        10 |  979.6000 |
| Queso Cabrales                   |        11 |  744.8000 |
| Queso Manchego La Pastora        |        12 |  516.8000 |
| Konbu                            |        13 |  230.4000 |
| Tofu                             |        14 |  469.6500 |
| Genen Shouyu                     |        15 |   86.8000 |
| Pavlova                          |        16 |  704.2000 |
| Alice Mutton                     |        17 | 1349.4000 |
| Carnarvon Tigers                 |        18 | 1612.5000 |
| Teatime Chocolate Biscuits       |        19 |  315.7000 |
| Sir Rodney's Marmalade           |        20 | 1215.0000 |
| Sir Rodney's Scones              |        21 |  366.0000 |
| Gustaf's Knckebrd                |        22 |  285.6000 |
| Tunnbrd                          |        23 |  167.4000 |
| Guaran Fantstica                 |        24 |  216.0000 |
| NuNuCa Nu-Nougat-Creme           |        25 |  235.2000 |
| Gumbr Gummibrchen                |        26 |  923.4000 |
| Schoggi Schokolade               |        27 |  368.7000 |
| Rssle Sauerkraut                 |        28 | 1385.2000 |
| Thringer Rostbratwurst           |        29 | 3713.3800 |
| Nord-Ost Matjeshering            |        30 |  776.5800 |
| Gorgonzola Telino                |        31 |  595.0000 |
| Mascarpone Fabioli               |        32 |  460.8000 |
| Geitost                          |        33 |   74.5000 |
| Sasquatch Ale                    |        34 |  246.4000 |
| Steeleye Stout                   |        35 |  612.0000 |
| Inlagd Sill                      |        36 |  554.8000 |
| Gravad lax                       |        37 |  140.4000 |
| Cte de Blaye                     |        38 | 5902.4000 |
| Chartreuse verte                 |        39 |  500.4000 |
| Boston Crab Meat                 |        40 |  706.3000 |
| Jack's New England Clam Chowder  |        41 |  432.1000 |
| Singaporean Hokkien Fried Mee    |        42 |  396.2000 |
| Ipoh Coffee                      |        43 | 1205.2000 |
| Gula Malacca                     |        44 |  435.2000 |
| Rogede sild                      |        45 |  129.2000 |
| Spegesild                        |        46 |  300.0000 |
| Zaanse koeken                    |        47 |  191.9000 |
| Chocolade                        |        48 |   71.4000 |
| Maxilaku                         |        49 |  388.0000 |
| Valkoinen suklaa                 |        50 |  149.5000 |
| Manjimup Dried Apples            |        51 | 1971.6000 |
| Filo Mix                         |        52 |  196.0000 |
| Perth Pasties                    |        53 |  904.8000 |
| Tourtire                         |        54 |  244.9500 |
| Pt chinois                       |        55 |  739.2000 |
| Gnocchi di nonna Alice           |        56 | 1770.8000 |
| Ravioli Angelo                   |        57 |  417.3000 |
| Escargots de Bourgogne           |        58 |  227.9000 |
| Raclette Courdavault             |        59 | 2761.0000 |
| Camembert Pierrot                |        60 | 1638.8000 |
| Sirop d'rable                    |        61 |  666.9000 |
| Tarte au sucre                   |        62 | 2227.8000 |
| Vegie-spread                     |        63 |  693.5000 |
| Wimmers gute Semmelkndel         |        64 |  931.0000 |
| Louisiana Fiery Hot Pepper Sauce |        65 |  622.6000 |
| Louisiana Hot Spiced Okra        |        66 |  122.4000 |
| Laughing Lumberjack Lager        |        67 |  137.2000 |
| Scottish Longbreads              |        68 |  392.5000 |
| Gudbrandsdalsost                 |        69 | 1036.8000 |
| Outback Lager                    |        70 |  552.0000 |
| Flotemysost                      |        71 |  829.9000 |
| Mozzarella di Giovanni           |        72 | 1217.4000 |
| Rd Kaviar                        |        73 |  201.0000 |
| Longlife Tofu                    |        74 |  114.0000 |
| Rhnbru Klosterbier               |        75 |  339.4500 |
| Lakkalikri                       |        76 |  662.4000 |
| Original Frankfurter grne Soe    |        77 |  460.2000 |
+----------------------------------+-----------+-----------+
77 rows in set (0.00 sec)
mysql-sql>

----------------------------------------------------------------------------------------------------------------
mysql-sql> select productid, productname, ventas_producto(productid), cantidad_vendida(productid)
       ... from products;
+-----------+----------------------------------+----------------------------+-----------------------------+
| productid | productname                      | ventas_producto(productid) | cantidad_vendida(productid) |
+-----------+----------------------------------+----------------------------+-----------------------------+
|        78 | Agua                             |                       null |                        null |
|        17 | Alice Mutton                     |                    35482.2 |                         978 |
|         3 | Aniseed Syrup                    |                       3080 |                         328 |
|        40 | Boston Crab Meat                 |                    19048.3 |                        1103 |
|        60 | Camembert Pierrot                |                      50286 |                        1577 |
|        18 | Carnarvon Tigers                 |                    31987.5 |                         539 |
|         1 | Chai                             |                    14277.6 |                         828 |
|         2 | Chang                            |                    18559.2 |                        1057 |
|        39 | Chartreuse verte                 |                    13150.8 |                         793 |
|         4 | Chef Anton's Cajun Seasoning     |                     9424.8 |                         453 |
|         5 | Chef Anton's Gumbo Mix           |                    5801.15 |                         298 |
|        48 | Chocolade                        |                    1542.75 |                         138 |
|        38 | Cte de Blaye                     |                     149984 |                         623 |
|        58 | Escargots de Bourgogne           |                    6664.75 |                         534 |
|        52 | Filo Mix                         |                     3383.8 |                         500 |
|        71 | Flotemysost                      |                    20876.5 |                        1057 |
|        33 | Geitost                          |                     1713.5 |                         755 |
|        15 | Genen Shouyu                     |                     1813.5 |                         122 |
|        56 | Gnocchi di nonna Alice           |                    45121.2 |                        1263 |
|        31 | Gorgonzola Telino                |                    16172.5 |                        1397 |
|         6 | Grandma's Boysenberry Spread     |                       7345 |                         301 |
|        37 | Gravad lax                       |                     3047.2 |                         125 |
|        24 | Guaran Fantstica                 |                     4782.6 |                        1125 |
|        69 | Gudbrandsdalsost                 |                    24307.2 |                         714 |
|        44 | Gula Malacca                     |                    10524.2 |                         601 |
|        26 | Gumbr Gummibrchen                |                    21534.9 |                         753 |
|        22 | Gustaf's Knckebrd                |                     7232.4 |                         348 |
|        10 | Ikura                            |                    22140.2 |                         742 |
|        36 | Inlagd Sill                      |                    14542.6 |                         805 |
|        43 | Ipoh Coffee                      |                    25079.2 |                         580 |
|        41 | Jack's New England Clam Chowder  |                     9098.1 |                         981 |
|        13 | Konbu                            |                     5234.4 |                         891 |
|        76 | Lakkalikri                       |                      16794 |                         981 |
|        67 | Laughing Lumberjack Lager        |                       2562 |                         184 |
|        74 | Longlife Tofu                    |                       2566 |                         297 |
|        65 | Louisiana Fiery Hot Pepper Sauce |                      14607 |                         745 |
|        66 | Louisiana Hot Spiced Okra        |                       3519 |                         239 |
|        51 | Manjimup Dried Apples            |                    44742.6 |                         886 |
|        32 | Mascarpone Fabioli               |                     9171.2 |                         297 |
|        49 | Maxilaku                         |                       9500 |                         520 |
|         9 | Mishi Kobe Niku                  |                       8827 |                          95 |
|        72 | Mozzarella di Giovanni           |                    25738.8 |                         806 |
|        30 | Nord-Ost Matjeshering            |                    14775.5 |                         612 |
|         8 | Northwoods Cranberry Sauce       |                      13760 |                         372 |
|        25 | NuNuCa Nu-Nougat-Creme           |                     4051.6 |                         318 |
|        77 | Original Frankfurter grne Soe    |                       9685 |                         791 |
|        70 | Outback Lager                    |                      11472 |                         817 |
|        16 | Pavlova                          |                      18748 |                        1158 |
|        53 | Perth Pasties                    |                    21510.2 |                         722 |
|        55 | Pt chinois                       |                      19512 |                         903 |
|        11 | Queso Cabrales                   |                      13902 |                         706 |
|        12 | Queso Manchego La Pastora        |                    12866.8 |                         344 |
|        59 | Raclette Courdavault             |                      76296 |                        1496 |
|        57 | Ravioli Angelo                   |                     7807.8 |                         434 |
|        73 | Rd Kaviar                        |                       4200 |                         293 |
|        75 | Rhnbru Klosterbier               |                    8650.55 |                        1155 |
|        45 | Rogede sild                      |                     4740.5 |                         508 |
|        28 | Rssle Sauerkraut                 |                    26865.6 |                         640 |
|        34 | Sasquatch Ale                    |                       6678 |                         506 |
|        27 | Schoggi Schokolade               |                    15231.5 |                         365 |
|        68 | Scottish Longbreads              |                     9362.5 |                         799 |
|        42 | Singaporean Hokkien Fried Mee    |                     9332.4 |                         697 |
|        20 | Sir Rodney's Marmalade           |                    23635.8 |                         313 |
|        21 | Sir Rodney's Scones              |                       9636 |                        1016 |
|        61 | Sirop d'rable                    |                    16438.8 |                         603 |
|        46 | Spegesild                        |                       6144 |                         548 |
|        35 | Steeleye Stout                   |                    14536.8 |                         883 |
|        62 | Tarte au sucre                   |                    49827.9 |                        1083 |
|        19 | Teatime Chocolate Biscuits       |                     6159.5 |                         723 |
|        29 | Thringer Rostbratwurst           |                    87736.4 |                         746 |
|        14 | Tofu                             |                     8630.4 |                         404 |
|        54 | Tourtire                         |                       5121 |                         755 |
|        23 | Tunnbrd                          |                     4840.2 |                         580 |
|         7 | Uncle Bob's Organic Dried Pears  |                      22464 |                         763 |
|        50 | Valkoinen suklaa                 |                       3510 |                         235 |
|        63 | Vegie-spread                     |                    17696.3 |                         445 |
|        64 | Wimmers gute Semmelkndel         |                      23009 |                         740 |
|        47 | Zaanse koeken                    |                     4358.6 |                         485 |
+-----------+----------------------------------+----------------------------+-----------------------------+

---------------------------------------------------------------------------------------------------------------------

mysql-sql> select * from ventas_producto;
+-----------+------------+------------+
| productid | totalsales | totalunits |
+-----------+------------+------------+
|         1 |    14277.6 |        828 |
|         2 |    18559.2 |       1057 |
|         3 |       3080 |        328 |
|         4 |     9424.8 |        453 |
|         5 |    5801.15 |        298 |
|         6 |       7345 |        301 |
|         7 |      22464 |        763 |
|         8 |      13760 |        372 |
|         9 |       8827 |         95 |
|        10 |    22140.2 |        742 |
|        11 |      13902 |        706 |
|        12 |    12866.8 |        344 |
|        13 |     5234.4 |        891 |
|        14 |     8630.4 |        404 |
|        15 |     1813.5 |        122 |
|        16 |      18748 |       1158 |
|        17 |    35482.2 |        978 |
|        18 |    31987.5 |        539 |
|        19 |     6159.5 |        723 |
|        20 |    23635.8 |        313 |
|        21 |       9636 |       1016 |
|        22 |     7232.4 |        348 |
|        23 |     4840.2 |        580 |
|        24 |     4782.6 |       1125 |
|        25 |     4051.6 |        318 |
|        26 |    21534.9 |        753 |
|        27 |    15231.5 |        365 |
|        28 |    26865.6 |        640 |
|        29 |    87736.4 |        746 |
|        30 |    14775.5 |        612 |
|        31 |    16172.5 |       1397 |
|        32 |     9171.2 |        297 |
|        33 |     1713.5 |        755 |
|        34 |       6678 |        506 |
|        35 |    14536.8 |        883 |
|        36 |    14542.6 |        805 |
|        37 |     3047.2 |        125 |
|        38 |     149984 |        623 |
|        39 |    13150.8 |        793 |
|        40 |    19048.3 |       1103 |
|        41 |     9098.1 |        981 |
|        42 |     9332.4 |        697 |
|        43 |    25079.2 |        580 |
|        44 |    10524.2 |        601 |
|        45 |     4740.5 |        508 |
|        46 |       6144 |        548 |
|        47 |     4358.6 |        485 |
|        48 |    1542.75 |        138 |
|        49 |       9500 |        520 |
|        50 |       3510 |        235 |
|        51 |    44742.6 |        886 |
|        52 |     3383.8 |        500 |
|        53 |    21510.2 |        722 |
|        54 |       5121 |        755 |
|        55 |      19512 |        903 |
|        56 |    45121.2 |       1263 |
|        57 |     7807.8 |        434 |
|        58 |    6664.75 |        534 |
|        59 |      76296 |       1496 |
|        60 |      50286 |       1577 |
|        61 |    16438.8 |        603 |
|        62 |    49827.9 |       1083 |
|        63 |    17696.3 |        445 |
|        64 |      23009 |        740 |
|        65 |      14607 |        745 |
|        66 |       3519 |        239 |
|        67 |       2562 |        184 |
|        68 |     9362.5 |        799 |
|        69 |    24307.2 |        714 |
|        70 |      11472 |        817 |
|        71 |    20876.5 |       1057 |
|        72 |    25738.8 |        806 |
|        73 |       4200 |        293 |
|        74 |       2566 |        297 |
|        75 |    8650.55 |       1155 |
|        76 |      16794 |        981 |
|        77 |       9685 |        791 |
|        78 |       null |       null |
+-----------+------------+------------+
